"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8013","get started link","chromium","2026-09-25","passed","2026-09-25","","example.spec.ts","",""
"","4626","has title","chromium","2026-09-25","passed","2026-09-25","","example.spec.ts","",""
